Medicinal whisky!,0
New - Quick Fire Whisky Tasting Notes: @JackDanielsUK Single Barrel Rye: https://t.co/BODWfl5BmW #whisky #rye,1
Today and tomorrow are the last days for APERITIVO TIME! From 6-8pm order Whisky fresh Jagerfresh Raspberry mojit… https://t.co/1pE76mbYeC,1
Whisky and rc time,0
"Not to mention $10 nett/glass for our housepour liqueurs vodka gin bourbon and whisky.… https://t.co/AkjZIQ3ROE",0
RT @the_whisky_lady: 2 Days Left to #WIN a bottle of Highland Park #Whisky 12 ! RT &amp; Follow @HighlandPark &amp; @the_whisky_lady to enter th… ,1
RT @the_whisky_lady: 2 Days Left to #WIN a bottle of Highland Park #Whisky 12 ! RT &amp; Follow @HighlandPark &amp; @the_whisky_lady to enter th… ,1
Bit of Holiday drinking #speyside #whisky https://t.co/DKUMCQknnQ,0
Bit of Holiday drinking #speyside #whisky https://t.co/ivftvLLx6v,0
"drunk on exquisite whisky fuelled by wine-soaked meats &amp; shaking up your conditioned thinking all before noon?what a day to be a troll.",0
Christmas gift by me to myself! Let's solve this riddle! #glenlivet #singlemalt #whisky #cipher https://t.co/jczgDIBaxk,0
"RT @mokhathi: People are reading serious books for festive holidays I am only reading books about Wine and Whisky. https://t.co/9sfs9NhNP4",0
"ditechre whisky rice: gentle rest a bowl of rice onto bed of whisky... whisky and rice will separate... leave (one hour)..",1
We'll be back shipping #Whisky in time to #NewYear. Order by Thursday 3pm (UK) &amp; have your dram ready for the bells… https://t.co/XEs0X7tDPs,1
"@garrystevens @Sethrogen thanks well personally I find that you can never go passed single malt whisky &amp; nude playing cards.",0
"I highly recommend this dark twisty wondufully written book.(PS it's about whisky not biscuits) https://t.co/kU7tryWdyT",0
"RT @cre8luv_4u: I cannot walk on water But I can wobble on whisky.",0
@TheMattBRoberts @lea_robbie more whisky is always good!!,0
"“The water was not fit to drink. To make it palatable we had to add whisky. By diligent effort I learned to like it.”~Winston Churchill",0
#Investing in #Whisky really pays off. More information: https://t.co/YUdQxxugFp https://t.co/RiUpRmt7F2,1
"RT @ditechre: recommend 'whisky rice' a ditechre invention... dm for the recipe",1
RT @the_whisky_lady: 2 Days Left to #WIN a bottle of Highland Park #Whisky 12 ! RT &amp; Follow @HighlandPark &amp; @the_whisky_lady to enter th… ,1
@dairymanNZ prophylactic whisky? You're drinking it out of a condom?,0
@SamHeughan Can you help a fella out? @TheMattBRoberts #Outlander @Laphroaig https://t.co/UifDTcMbt7,0
RT @andrewjamesltd: #FridayFreebie: RT &amp; Follow for your chance to #win our #whisky glasses and stones! #Winner announced on 29/12/2016… ,1
A mountain and a new whisky. Good start to a week in Scotland.  @TobermoryWhisky https://t.co/dTBOvo8TNP,0
#nyu dental school requirements carbs in whisky,0
"RT @cre8luv_4u: I cannot walk on water But I can wobble on whisky.",0
There is a new review on Tumbler / Whisky Glass - Iechyd Da - Good Health - Origi https://t.co/MYbATNCjtB via @yotpo,1
@SassyDCLady WHISKIES FOR THE WHISKY GOD,0
@Smithy_the_Boob me too buddy. Me too. Where is my whisky.,0
When was the last time you gazed into a glass of fine Scotch whisky and thought about sustainability and... https://t.co/COe1eZ0RWY,0
Whisky No.2 - Cardhu Gold Reserve (only distillery set up by a woman) https://t.co/yydOXgk80k,1
"New Whisky Releases: Texas Bourbon 50 Year Old Bowmore and A Holiday Treat https://t.co/IRmwaXKzDX",1
"New Whisky Releases: Texas Bourbon 50 Year Old Bowmore and A Holiday Treat https://t.co/czOiQ60KiJ",1
"RT @BdAdultes: Whisky-talons. Jeremy Worst. &gt; https://t.co/BApZ0O8Etq #heels #sexy https://t.co/dJw3MoRtkQ",0
The Cask's the Thing! Why is the #cask such an integral part of #whisky maturation? https://t.co/qiicHtDyOO,1
"mix whisky and beer wait. place into old bottle (must be old)... leave outside (a day). take in. drip onto bread.. 'crumpet enervase'",0
Are bourbon or sherry casks better for #whisky maturation? #Dram #Scotch https://t.co/89Z4zMQ1rJ,1
Whisky per mio - prosecco per Pip. The little local bar o'er the road. He made us toasted sangas. … https://t.co/HwtfHVxQrs,0
RT @the_whisky_lady: 2 Days Left to #WIN a bottle of Highland Park #Whisky 12 ! RT &amp; Follow @HighlandPark &amp; @the_whisky_lady to enter th… ,1
